raw,clean,clean-default
I visited this place last month. This is very famous and very crowded beach in phuket. Many activities like para gliding and boat riding are availavle. If you want to enjoy swimming you will get some area marked by rope. Outside of that area is not available for swimming. If you want to enjoy the sun light then that is a problem. You wont get seat or place to relax. The shops beside the beach is overrated. One coconut water will cost you 50 THB. Please do some research before reaching to this place. I brought a flute from here. The overall experience is very nice. The scenic beauty and the behaviour of people is outstanding. I love this place. Please do take a hotel next to this beach and you will be able to enjoy the beautiful environment in night. The bangla Street is just opposite to this beach. Very nice resturants available near to this beach. You can walk at night in sea side and enjoy the shows. Thanks.,i visited this place last month this is very famous and very crowded beach in phuket many activities like para gliding and boat riding are availavle if you want to enjoy swimming you will get some area marked by rope outside of that area is not available for swimming if you want to enjoy the sun light then that is a problem you will not get seat or place to relax the shops beside the beach is overrated coconut water will cost you thb please do some research before reaching to this place i brought a flute from here the overall experience is very nice the scenic beauty and the behaviour of people is outstanding i love this place please do take a hotel next to this beach and you will be able to enjoy the beautiful environment in night the bangla street is just opposite to this beach very nice resturants available near to this beach you can walk at night in sea side and enjoy the shows thanks,"['visit', 'place', 'month', 'famous', 'crowded', 'beach', 'phuket', 'activity', 'like', 'para', 'gliding', 'boat', 'riding', 'availavle', 'want', 'enjoy', 'swim', 'area', 'mark', 'rope', 'outside', 'area', 'not', 'available', 'swimming', 'want', 'enjoy', 'sun', 'light', 'problem', 'not', 'seat', 'place', 'relax', 'shop', 'beach', 'overrate', 'coconut', 'water', 'cost', 'thb', 'research', 'reach', 'place', 'bring', 'flute', 'overall', 'experience', 'nice', 'scenic', 'beauty', 'behaviour', 'people', 'outstanding', 'love', 'place', 'hotel', 'beach', 'able', 'enjoy', 'beautiful', 'environment', 'night', 'bangla', 'street', 'opposite', 'beach', 'nice', 'resturant', 'available', 'near', 'beach', 'walk', 'night', 'sea', 'enjoy', 'show', 'thank']"
A little crowded beach however much cleaner than expected,a little crowded beach however much cleaner than expected,"['little', 'crowded', 'beach', 'clean', 'expect']"
Party area! bars and entertainment .,party area bars and entertainment,"['party', 'area', 'bar', 'entertainment']"
"Visited in December. The weather was pleasant, a bit on the warmer side. Maintained beach but could be a little cleaner. A lot of activities here including parasailing but with no life guard on duty. Many food stalls along the beach. Best to rent a scooter and explore the entire beach. Volleyball nets available. THB 200 for chair",visited in december the weather was pleasant a bit on the warmer side maintained beach but could be a little cleaner a lot of activities here including parasailing but with no life guard on duty many food stalls along the beach best to rent a scooter and explore the entire beach volleyball nets available thb for chair,"['visit', 'december', 'weather', 'pleasant', 'bit', 'warm', 'maintain', 'beach', 'little', 'clean', 'lot', 'activity', 'include', 'parasaile', 'no', 'life', 'guard', 'duty', 'food', 'stall', 'beach', 'good', 'rent', 'scooter', 'explore', 'entire', 'beach', 'volleyball', 'net', 'available', 'thb', 'chair']"
"Great beach,clean and well kept and absolutely safe even at odd hours.close to anything one may want like a 7/11 or a money changer.Walkable distance to most of the hostels and places of interest in the area.Plenty of eating options - from the market serving fresh fish to small shops where locals eat.all within walking distance so one may explore on foot",great beach clean and well kept and absolutely safe even at odd hours.close to anything one may want like a or a money changer.walkable distance to most of the hostels and places of interest in the area.plenty of eating options from the market serving fresh fish to small shops where locals eat.all within walking distance so one may explore on foot,"['great', 'beach', 'clean', 'keep', 'absolutely', 'safe', 'odd', 'hours.close', 'want', 'like', 'money', 'changer.walkable', 'distance', 'hostel', 'place', 'interest', 'area.plenty', 'eat', 'option', 'market', 'serve', 'fresh', 'fish', 'small', 'shop', 'local', 'eat.all', 'walk', 'distance', 'explore', 'foot']"
"Patong Beach - One of the most popular beach in the island, full of life all the time. It's right in the middle of all the action, water sports, partying, etc etc. You can find a bunch of restaurants, spas, and bars for the full range of experiences.",patong beach of the most popular beach in the island full of life all the time it is right in the middle of all the action water sports partying etc etc you can find a bunch of restaurants spas and bars for the full range of experiences,"['patong', 'beach', 'popular', 'beach', 'island', 'life', 'time', 'right', 'middle', 'action', 'water', 'sport', 'partying', 'etc', 'etc', 'find', 'bunch', 'restaurant', 'spa', 'bar', 'range', 'experience']"
A bit crowded but still one of the best spots in Phuket to capture sunset. You can bring you all foods and drinks to enjoy the view here with friends.,a bit crowded but still of the best spots in phuket to capture sunset you can bring you all foods and drinks to enjoy the view here with friends,"['bit', 'crowded', 'good', 'spot', 'phuket', 'capture', 'sunset', 'bring', 'food', 'drink', 'enjoy', 'view', 'friend']"
"Not a clean beach, but they had a seating area at the beach for 200 baht for two beach chairs. The water around December is quite warm, and I went at 10am. The hotel is stay at offers a shuttle ride to the beach, but the ride was a 10 minute drive if I’m estimating correctly. It was a short ride. The shuttle picks you up to go back to the hotel too. Just have to go by the scheduled times for drop off and pick up according to the hotel. I would recommend bringing your own towel from your hotel. The beach does not offer towels. There are A LOT of street food vendors though. Anything from coconut drinks to hot foods cooked and served right on the street. I bought chicken kebabs, roti pancake with banana and sweet milk, morning glory, fried prawn balls, pork with Chinese vegetables. If you walk further down to wear the shopping district area is, you’ll pass by the food market where they were just beginning to set up but have not opened yet. They also offer massages at the beach on top of many others trying to sell tourists things such as grapefruits and fried foods, beach cover-ups, and sunglasses (knockoff ray-bans).",not a clean beach but they had a seating area at the beach for baht for beach chairs the water around december is quite warm and i went at am the hotel is stay at offers a shuttle ride to the beach but the ride was a minute drive if i am estimating correctly it was a short ride the shuttle picks you up to go back to the hotel too just have to go by the scheduled times for drop off and pick up according to the hotel i would recommend bringing your own towel from your hotel the beach does not offer towels there are a lot of street food vendors though anything from coconut drinks to hot foods cooked and served right on the street i bought chicken kebabs roti pancake with banana and sweet milk morning glory fried prawn balls pork with chinese vegetables if you walk further down to wear the shopping district area is you will pass by the food market where they were just beginning to set up but have not opened yet they also offer massages at the beach on top of many others trying to sell tourists things such as grapefruits and fried foods beach cover ups and sunglasses knockoff ray bans,"['not', 'clean', 'beach', 'seating', 'area', 'beach', 'baht', 'beach', 'chair', 'water', 'december', 'warm', 'go', 'hotel', 'stay', 'offer', 'shuttle', 'ride', 'beach', 'ride', 'minute', 'drive', 'estimate', 'correctly', 'short', 'ride', 'shuttle', 'pick', 'hotel', 'schedule', 'time', 'drop', 'pick', 'accord', 'hotel', 'recommend', 'bring', 'towel', 'hotel', 'beach', 'not', 'offer', 'towel', 'lot', 'street', 'food', 'vendor', 'coconut', 'drink', 'hot', 'food', 'cook', 'serve', 'right', 'street', 'buy', 'chicken', 'kebabs', 'roti', 'pancake', 'banana', 'sweet', 'milk', 'morning', 'glory', 'fry', 'prawn', 'ball', 'pork', 'chinese', 'vegetable', 'walk', 'wear', 'shopping', 'district', 'area', 'pass', 'food', 'market', 'begin', 'set', 'not', 'open', 'offer', 'massage', 'beach', 'try', 'sell', 'tourist', 'thing', 'grapefruit', 'fried', 'food', 'beach', 'cover', 'up', 'sunglasse', 'knockoff', 'ray', 'bans']"
"It's very famous among  tourist and you will always find this beach crowded.. So if you are looking for some peace and me time, this ain't the beach.. On the other hand, if you are up for some water sports like jet ski or Para gliding, this is the place to be.. Also lot of bars around the beach which are quite lively",it is very famous among tourist and you will always find this beach crowded so if you are looking for some peace and me time this are not the beach on the other hand if you are up for some water sports like jet ski or para gliding this is the place to be also lot of bars around the beach which are quite lively,"['famous', 'tourist', 'find', 'beach', 'crowd', 'look', 'peace', 'time', 'not', 'beach', 'hand', 'water', 'sport', 'like', 'jet', 'ski', 'para', 'gliding', 'place', 'lot', 'bar', 'beach', 'lively']"
"Beautiful beach with great waters for water sports like jet skis. Be prepared for lots of haggling if you’re interested in water sports, all the printed prices are around double of what the real prices are. Lots of great places to eat at walking distance, remember to wear lots of sun screen and drink lots of water as it can get quite sunny!",beautiful beach with great waters for water sports like jet skis be prepared for lots of haggling if you are interested in water sports all the printed prices are around double of what the real prices are lots of great places to eat at walking distance remember to wear lots of sun screen and drink lots of water as it can get quite sunny,"['beautiful', 'beach', 'great', 'water', 'water', 'sport', 'like', 'jet', 'ski', 'prepare', 'lot', 'haggling', 'interested', 'water', 'sport', 'print', 'price', 'double', 'real', 'price', 'lot', 'great', 'place', 'eat', 'walk', 'distance', 'remember', 'wear', 'lot', 'sun', 'screen', 'drink', 'lot', 'water', 'sunny']"
"Quite nice beach with beautiful views, warm blue water and yellow sand. Lots of Thai food, fruits and drinks sold nearby. Close to city streets, bars and shops. Not as crowded as Karon beach or few others. You will enjoy relaxing there.",quite nice beach with beautiful views warm blue water and yellow sand lots of thai food fruits and drinks sold nearby close to city streets bars and shops not as crowded as karon beach or few others you will enjoy relaxing there,"['nice', 'beach', 'beautiful', 'view', 'warm', 'blue', 'water', 'yellow', 'sand', 'lot', 'thai', 'food', 'fruit', 'drink', 'sell', 'nearby', 'close', 'city', 'street', 'bar', 'shop', 'not', 'crowd', 'karon', 'beach', 'enjoy', 'relax']"
"The best and most happening beach in Phuket. This place is always full of tourists. One can also do Parasailing, Jet Skiing etc. but do negotiate the cost beforehand. Great place to spend time in the evening and have a bath as well. The beach is very clean and full of pubs nearby.",the best and most happening beach in phuket this place is always full of tourists one can also do parasailing jet skiing etc but do negotiate the cost beforehand great place to spend time in the evening and have a bath as well the beach is very clean and full of pubs nearby,"['good', 'happen', 'beach', 'phuket', 'place', 'tourist', 'parasailing', 'jet', 'skiing', 'etc', 'negotiate', 'cost', 'great', 'place', 'spend', 'time', 'evening', 'bath', 'beach', 'clean', 'pub', 'nearby']"
"Very nice beach, with everything to buy on the beach or near, watersports, large for 5km, and tide friendly (even in the low tide is a good beach). No showers however..",very nice beach with everything to buy on the beach or near watersports large for km and tide friendly even in the low tide is a good beach no showers however,"['nice', 'beach', 'buy', 'beach', 'near', 'watersport', 'large', 'km', 'tide', 'friendly', 'low', 'tide', 'good', 'beach', 'no', 'shower']"
Not the Cleanest and Best beach in Phuket. That has to be Kata / Karon Beach. But this Beach is lively located very close to the night life and all the Happening places in Phuket. This is a beach to chill for a while before you hit the shopping or party scene hard!!!,not the cleanest and best beach in phuket that has to be kata karon beach but this beach is lively located very close to the night life and all the happening places in phuket this is a beach to chill for a while before you hit the shopping or party scene hard,"['not', 'clean', 'good', 'beach', 'phuket', 'kata', 'karon', 'beach', 'beach', 'lively', 'locate', 'close', 'night', 'life', 'happen', 'place', 'phuket', 'beach', 'chill', 'hit', 'shopping', 'party', 'scene', 'hard']"
"Beautiful beach. Crowded due to its popularity as expected, so go elsewhere if you aren’t comfortable with this
$200 Baht for hiring 2 chairs and 1 umbrella for the day which is great. Drink/food prices reasonable",beautiful beach crowded due to its popularity as expected so go elsewhere if you are not comfortable with this baht for hiring chairs and umbrella for the day which is great drink food prices reasonable,"['beautiful', 'beach', 'crowd', 'popularity', 'expect', 'not', 'comfortable', 'baht', 'hire', 'chair', 'umbrella', 'day', 'great', 'drink', 'food', 'price', 'reasonable']"
"Very nice location but I was bitten by alot of fleas there.... my legs were ruined there... 83 spots on both legs in an hour....
",very nice location but i was bitten by alot of fleas there my legs were ruined there spots on both legs in an hour,"['nice', 'location', 'bite', 'alot', 'flea', 'leg', 'ruin', 'spot', 'leg', 'hour']"
"Not clean at all and lots of people bother you to try and sell you something, better at night",not clean at all and lots of people bother you to try and sell you something better at night,"['not', 'clean', 'lot', 'people', 'bother', 'try', 'sell', 'well', 'night']"
Clean beach. Early morning swims with quiet waves is what anyone would wish for in a holiday. Lovely park around. Has quite a lot of sun beds. Loved this place,clean beach early morning swims with quiet waves is what anyone would wish for in a holiday lovely park around has quite a lot of sun beds loved this place,"['clean', 'beach', 'early', 'morning', 'swim', 'quiet', 'wave', 'wish', 'holiday', 'lovely', 'park', 'lot', 'sun', 'bed', 'love', 'place']"
"Beautiful beach. Especially when it's less busy. Walk down and being a beach towel and enjoy the sun and the swim. Waves are calm. Throughout the day there are plenty of locals trying to sell you something. Plenty of offered activities such as jetski, banana boat, donuts, parachuting and so on. There are toilet blocks on the beach. May cost you a few baht for use.  If you see a local called Mike trying get you to buy tourism packages, I recommend him.",beautiful beach especially when it is less busy walk down and being a beach towel and enjoy the sun and the swim waves are calm throughout the day there are plenty of locals trying to sell you something plenty of offered activities such as jetski banana boat donuts parachuting and so on there are toilet blocks on the beach may cost you a few baht for use if you see a local called mike trying get you to buy tourism packages i recommend him,"['beautiful', 'beach', 'especially', 'busy', 'walk', 'beach', 'towel', 'enjoy', 'sun', 'swim', 'wave', 'calm', 'day', 'plenty', 'local', 'try', 'sell', 'plenty', 'offer', 'activity', 'jetski', 'banana', 'boat', 'donut', 'parachuting', 'toilet', 'block', 'beach', 'cost', 'baht', 'use', 'local', 'call', 'mike', 'try', 'buy', 'tourism', 'package', 'recommend']"
"Nice experience, Beach is clean and beautiful place to relax.",nice experience beach is clean and beautiful place to relax,"['nice', 'experience', 'beach', 'clean', 'beautiful', 'place', 'relax']"
"Nice, but local sellers are heavy talkers and sticky , smoking is not allowed at the beach which is awful",nice but local sellers are heavy talkers and sticky smoking is not allowed at the beach which is awful,"['nice', 'local', 'seller', 'heavy', 'talker', 'sticky', 'smoking', 'not', 'allow', 'beach', 'awful']"
Had a great time in Patong beach. Clean beach with very fine sands. The waves at the beach go up and down all day gives a wonderful swimming experience.  I tried the parasailing at 1300 baht but for only 4 minutes. Expensive but great experience,had a great time in patong beach clean beach with very fine sands the waves at the beach go up and down all day gives a wonderful swimming experience i tried the parasailing at baht but for only minutes expensive but great experience,"['great', 'time', 'patong', 'beach', 'clean', 'beach', 'fine', 'sand', 'wave', 'beach', 'day', 'give', 'wonderful', 'swimming', 'experience', 'try', 'parasailing', 'baht', 'minute', 'expensive', 'great', 'experience']"
"Clean, beautiful and lively. They charge 300 baht for an umbrella and 2 loungers during daytime. You can sit there and relax as long as you want. They sell drinks and fruits there also.Another option, you can buy your own mat and there's a designated area for free seating. You can buy your drinks and food from outside and have it there.",clean beautiful and lively they charge baht for an umbrella and loungers during daytime you can sit there and relax as long as you want they sell drinks and fruits there also.another option you can buy your own mat and there is a designated area for free seating you can buy your drinks and food from outside and have it there,"['clean', 'beautiful', 'lively', 'charge', 'baht', 'umbrella', 'lounger', 'daytime', 'sit', 'relax', 'long', 'want', 'sell', 'drink', 'fruit', 'also.another', 'option', 'buy', 'mat', 'designate', 'area', 'free', 'seating', 'buy', 'drink', 'food', 'outside']"
"Worst experience in my life. Don't bother come in here for New Year. Over crowded and the traffic controller prioritise cars and bikes over pedestrians. Screaming ""Move Move!"" And pushing people. I got tased, kids around were crying. It's a nightmare. It will ruin your trip. Don't come to Patong. Phuket isn't even good. There are a lot of better places to go in Thailand.",worst experience in my life do not bother come in here for new year over crowded and the traffic controller prioritise cars and bikes over pedestrians screaming move move and pushing people i got tased kids around were crying it is a nightmare it will ruin your trip do not come to patong phuket is not even good there are a lot of better places to go in thailand,"['bad', 'experience', 'life', 'not', 'bother', 'come', 'new', 'year', 'crowd', 'traffic', 'controller', 'prioritise', 'car', 'bike', 'pedestrian', 'scream', 'push', 'people', 'get', 'tase', 'kid', 'cry', 'nightmare', 'ruin', 'trip', 'not', 'come', 'patong', 'phuket', 'not', 'good', 'lot', 'well', 'place', 'thailand']"
"A nice beach, a lot of water-based attraction like banana boat or flying with reasonable price, not quite clean but the view during the sunset is really good.",a nice beach a lot of water based attraction like banana boat or flying with reasonable price not quite clean but the view during the sunset is really good,"['nice', 'beach', 'lot', 'water', 'base', 'attraction', 'like', 'banana', 'boat', 'fly', 'reasonable', 'price', 'not', 'clean', 'view', 'sunset', 'good']"
Beautiful beach but there is so much commercialization. Prices of goods and services around are also sky high. Beach is still good for relaxing overall.,beautiful beach but there is so much commercialization prices of goods and services around are also sky high beach is still good for relaxing overall,"['beautiful', 'beach', 'commercialization', 'price', 'good', 'service', 'sky', 'high', 'beach', 'good', 'relax', 'overall']"
patong beach is good beach on the road side and you can see crowd enjoying and relaxing there . There are few hotels and resorts nearby and also walking street is nearby so you can enjoy the evenings there too. If you want to enjoy beach like a private experience go at the beach side which is just in front of the novotel resort.,patong beach is good beach on the road side and you can see crowd enjoying and relaxing there there are few hotels and resorts nearby and also walking street is nearby so you can enjoy the evenings there too if you want to enjoy beach like a private experience go at the beach side which is just in front of the novotel resort,"['patong', 'beach', 'good', 'beach', 'road', 'crowd', 'enjoy', 'relax', 'hotel', 'resort', 'nearby', 'walk', 'street', 'nearby', 'enjoy', 'evening', 'want', 'enjoy', 'beach', 'like', 'private', 'experience', 'beach', 'novotel', 'resort']"
"It's a lovely place, lovely beach, you can enjoy here throughout the day and night also, all kind of water sports are available here, you can enjoy the same or just lay down and enjoy the beautiful sea, you can also take bath in the sea. Nightlife is also very happening over here, you can do lots of activities. Also you can find variety of food and drinks in the restaurant along with the beach.",it is a lovely place lovely beach you can enjoy here throughout the day and night also all kind of water sports are available here you can enjoy the same or just lay down and enjoy the beautiful sea you can also take bath in the sea nightlife is also very happening over here you can do lots of activities also you can find variety of food and drinks in the restaurant along with the beach,"['lovely', 'place', 'lovely', 'beach', 'enjoy', 'day', 'night', 'kind', 'water', 'sport', 'available', 'enjoy', 'lay', 'enjoy', 'beautiful', 'sea', 'bath', 'sea', 'nightlife', 'happen', 'lot', 'activity', 'find', 'variety', 'food', 'drink', 'restaurant', 'beach']"
